id,latitude,longitude,acq_date,frp,geom_4326,geom_27700
47,53.57304,-0.61501,2026-06-07,0.69,0101000020E610000091D0967329AEE3BF61A6ED5F59C94A40,0101000020346C0000A099D5F486041E413D34A82B99FC1841
48,53.63301,-0.2419,2026-06-07,1.53,0101000020E6100000D881734694F6CEBF3E05C07806D14A40,0101000020346C0000EDD0745FF7831F4198941B405A6D1941
49,53.63317,-0.2425,2026-06-07,0.58,0101000020E61000000AD7A3703D0ACFBF7767EDB60BD14A40,0101000020346C00007584E1EE56831F41A33FCE869D6D1941
40,57.76072,-3.9426,2026-06-10,22.49,0101000020E610000043AD69DE718A0FC0E1B4E0455FE14C40,0101000020346C0000BA550AD28B5D1141CBEC729373BD2A41
51,53.6341,-0.24183,2026-06-07,1.34,0101000020E6100000F888981249F4CEBF613255302AD14A40,0101000020346C00009E8131E8FD831F41D7DC67B93F6F1941
53,53.68371,-6.39068,2026-06-08,0.6,0101000020E61000001CCEFC6A0E9019C05DF92CCF83D74A40,0101000020346C0000A026BBE4D0E6FA40F0684FB30E3B1A41
54,51.6398,-3.32578,2026-06-08,3.49,0101000020E6100000EC866D8B329B0AC08BFD65F7E4D14940,0101000020346C0000288E7F3002D21241309C3D7322B70741
55,51.89326,-4.62728,2026-06-08,4.58,0101000020E610000051BD35B0558212C09869FB5756F24940,0101000020346C00005C833D4E9BC50A4144D2059500740B41
56,54.16409,-0.62223,2026-06-08,1.69,0101000020E6100000EFE192E34EE9E3BFE2CCAFE600154B40,0101000020346C0000406164E91CE91D412A3B1CA3E2FF1C41
57,53.7355,-0.23575,2026-06-09,0.92,0101000020E6100000931804560E2DCEBFA01A2FDD24DE4A40,0101000020346C0000FD8B2599E6851F4124F694B1A71F1A41
58,53.73959,-0.23546,2026-06-09,1.1,0101000020E61000008811C2A38D23CEBF6D3997E2AADE4A40,0101000020346C00000C0D02E805861F413489158CC5261A41
71,53.56511,-0.59638,2026-06-09,0.53,0101000020E6100000A1A17F828B15E3BF3F52448655C84A40,0101000020346C000016EE80C412181E4104AD621731EF1841
72,53.56865,-0.5942,2026-06-09,0.53,0101000020E6100000F90FE9B7AF03E3BF696FF085C9C84A40,0101000020346C000066C70734351A1E41A02188B663F51841
73,53.63424,-0.24567,2026-06-09,1.79,0101000020E61000006EDDCD531D72CFBF53E8BCC62ED14A40,0101000020346C0000064326D504801F4169F20DF6646F1941
74,51.22604,-2.77634,2026-06-09,7.8,0101000020E6100000F59CF4BEF13506C03ECBF3E0EE9C4940,0101000020346C0000577A2670751C1541435BBBA415080241
75,52.60615,1.3107,2026-06-09,6.39,0101000020E61000000DE02D90A0F8F43F363CBD52964D4A40,0101000020346C0000A3B7A2B1180D2341AE69C05B68AE1241
79,50.97197,1.89378,2026-06-10,0.47,0101000020E6100000221ADD41EC4CFE3FB8585183697C4940,0101000020346C0000C1AB83FE518D24412EF6772676DBFE40
80,51.28882,-0.46289,2026-06-10,0.56,0101000020E6100000E44EE960FD9FDDBF2237C30DF8A44940,0101000020346C00007362C2D44AF61E4122B990CB5AFC0241
81,51.68258,-5.02855,2026-06-10,1.5,0101000020E6100000053411363C1D14C0AC730CC85ED74940,0101000020346C00002C3E673185480741026003E283B90841
82,53.56922,-0.60556,2026-06-10,0.87,0101000020E61000001B81785DBF60E3BF541D7233DCC84A40,0101000020346C00000AE770216F0E1E41FC1F833026F61841
83,53.6345,-0.24578,2026-06-10,1.76,0101000020E610000084640113B875CFBFF0A7C64B37D14A40,0101000020346C0000EEE80EE4E47F1F4128FBA9EFD76F1941
84,56.81604,-2.59612,2026-06-10,5.62,0101000020E6100000A2EE0390DAC404C02A1DACFF73684C40,0101000020346C0000F4521489EB32164177FBEC43217C2741
85,57.76072,-3.9426,2026-06-10,22.49,0101000020E610000043AD69DE718A0FC0E1B4E0455FE14C40,0101000020346C0000BA550AD28B5D1141CBEC729373BD2A41
87,53.56691,-0.59569,2026-06-11,0.69,0101000020E610000056BC9179E40FE3BF3FE3C28190C84A40,0101000020346C0000D39677C6B9181E41EA0DE8A855F21841
88,53.56772,-0.60187,2026-06-11,1.31,0101000020E61000005131CEDF8442E3BF7FA4880CABC84A40,0101000020346C00001D87E0A34D121E411B71E0E19DF31841
89,53.56854,-0.60804,2026-06-11,1.31,0101000020E6100000691D554D1075E3BFE23B31EBC5C84A40,0101000020346C0000F2780521E40B1E413ADC35C0EAF41841
90,53.58452,-0.62145,2026-06-11,1.0,0101000020E6100000A52C431CEBE2E3BFD0ED258DD1CA4A40,0101000020346C0000C9D7A5757AFD1D4189F220796C101941
